var name, type , #
PasteUpMorph>>modalLockTo:>>1>>arg>>m,GrowlMorph,2,SystemProgressMorph,4,StandardWindow,4,SystemWindow,4,GLMSystemWindow,4,NautilusWindow,4,ImageMorph,4,PluggableDialogWindow,2,TaskbarMorph,4
Morph>>enableDrop:>>arg>>aBoolean,True,10,False,2
HandMorph>>removeListener:from:>>arg>>aListenerGroup,WeakArray,1
DamageRecorder>>recordInvalidRect:>>2>>temp>>a,SmallInteger,25664,BoxedFloat64,5
MouseOverHandler>>handleAsMouseEnter:>>temp>>asMouseEnterEvent,MouseButtonEvent,21,MouseMoveEvent,81,MouseEvent,65
KeyboardEvent>>setType:buttons:position:keyValue:charCode:hand:stamp:>>arg>>aHand,HandMorph,91
Morph>>addDependent:>>arg>>anObject,CheckboxMorph,5,AColorSelectorMorph,4,ColorPresenterMorph,1,GeneralScrollBar,10,PluggableMorphListMorph,2,PluggableTextMorph,1,DropListMorph,3,PluggableSliderMorph,2,SystemProgressMorph,1,PluggableIconListMorph,2,TabGroupMorph,1,PluggableTextFieldMorph,26,ColorChooserMorph,1,HColorSelectorMorph,3,ControlButtonMorph,20,ExpanderMorph,2,CheckboxButtonMorph,1012,TreeListMorph,2,PluggableButtonMorph,239,PluggableListMorph,8,ScrollBar,6124
MouseOverHandler>>inform:to:originatedFrom:ifNotFocusedDo:>>arg>>aBlock,BlockClosure,490
Morph>>navigationKey:>>arg>>event,KeyboardEvent,22
HandMorph>>releaseKeyboardFocus:>>arg>>aMorph,QuestionWithoutCancelDialogWindow,1,EditorFindReplaceDialogWindow,1,TopLeftGripMorph,4,ChooseDropListDialogWindow,1,DenyDialogWindow,1,TextEntryDialogWindow,9,GrowlMorph,1,ImageMorph,31,WindowEdgeGripMorph,16,SimpleBalloonMorph,1,MessageDialogWindow,1,IdentifierChooserMorph,6,SystemProgressMorph,2,BottomLeftGripMorph,4,BottomRightGripMorph,4,AlignmentMorph,4,QuestionDialogWindow,2,PluggableDialogWindow,6,LabelMorph,2024,AlertDialogWindow,1,JobProgressMorph,2,FreeTypeFontSelectorDialogWindow,1,MultistateButtonMorph,140,ErrorDialogWindow,1,RubFindReplaceDialogWindow,1,TopRightGripMorph,4,TextMorph,1,ColorSelectorDialogWindow,1,FileDialogWindow,2,StringMorph,10,ProceedDialogWindow,1
MorphExtension>>eventHandler:>>arg>>newValue,MorphicEventHandler,83484
WorldMorph>>stopStepping:selector:>>arg>>aSelector,ByteSymbol,13
Morph>>containsPoint:event:>>arg>>anEvent,MouseWheelEvent,4,MouseButtonEvent,24,MouseMoveEvent,422,DropEvent,5,MouseEvent,14031
MorphicEventDispatcher>>handleMouseOver:>>arg>>anEvent,MouseEvent,102552
Morph>>valueOfProperty:ifAbsentPut:>>arg>>aBlock,BlockClosure,21103
MouseOverHandler>>transform:from:andSendTo:>>arg>>anEvent,MouseButtonEvent,55,MouseMoveEvent,198,MouseEvent,9
