var name, type , #
MooseGroupRuntimeStorage>>updateCacheFor:>>temp>>key,FAMIXPrimitiveType class,54,FAMIXInheritance class,8288,FAMIXThrownException class,4362,FAMIXReference class,15978,FAMIXFileAnchor class,53875,FAMIXDeclaredException class,1096,FAMIXCaughtException class,2426,FAMIXComment class,30568,FAMIXEnum class,49,MooseModel class,1,FAMIXParameterizableClass class,357,FAMIXEnumValue class,276,FAMIXAttribute class,11612,FAMIXType class,8535,FAMIXInvocation class,174500,FAMIXImplicitVariable class,5392,FAMIXAnnotationType class,17,FAMIXClass class,35814,FAMIXAnnotationInstance class,3894,FAMIXAnnotationTypeAttribute class,1,FAMIXParameterizedType class,2421,MooseObjectQueryResult class,4774,FAMIXAnnotationInstanceAttribute class,84,FAMIXLocalVariable class,25262,FAMIXNamespace class,640,FAMIXParameterType class,155,FAMIXJavaSourceLanguage class,3,FAMIXAccess class,60384,FAMIXMethod class,118701,FAMIXParameter class,35218
MooseDefaultState>>attributeAt:ifAbsent:>>temp>>each,Association,131351
MooseDefaultState>>propertyCache,SmallDictionary,278372
MooseAbstractGroup>>allPrimitiveTypes>>1>>arg>>a,FAMIXPrimitiveType,36
MooseEntityState>>description:>>arg>>text,ByteString,125
MooseModel>>sourceLanguage>>2>>arg>>each,FAMIXJavaSourceLanguage,1
MooseGroupRuntimeStorage>>byName,IdentityDictionary,87
MooseDefaultState>>cacheAt:ifAbsentPut:>>arg>>name,FAMIXThrownException class,2,FAMIXJavaSourceLanguage class,1,FAMIXAccess class,2,FAMIXEnumValue class,2,FAMIXEnum class,2,FAMIXImplicitVariable class,2,FAMIXCppSourceLanguage class,1,FAMIXCaughtException class,2,FAMIXModule class,2,MooseModel class,2,DynamixTrace class,2,FAMIXInvocation class,2,ByteString,17,FAMIXMethod class,3,ByteSymbol,363,FAMIXTypeAlias class,2,DudeDuplication class,2,FAMIXUnknownVariable class,2,FAMIXParameterizableClass class,2,FAMIXSmalltalkMonticelloSourceLanguage class,1,FAMIXFunction class,2,FAMIXNamespace class,3,FAMIXType class,1,HismoModelHistory class,2,FAMIXParameterizedType class,2,FAMIXReference class,2,FAMIXDeclaredException class,2,DudeMultiplication class,2,FAMIXAnnotationInstance class,2,FAMIXPrimitiveType class,2,FAMIXParameterType class,2,FAMIXHeader class,2,FAMIXGlobalVariable class,2,FAMIXCSourceLanguage class,1,FAMIXParameter class,2,FAMIXUnknownSourceLanguage class,1,FAMIXFolder class,2,FAMIXClass class,3,FAMIXInheritance class,2,FAMIXSourceLanguage class,1,FAMIXPackage class,3,FAMIXAttribute class,2,FAMIXAnnotationType class,2,FAMIXLocalVariable class,2,FAMIXCustomSourceLanguage class,1,FAMIXSmalltalkSourceLanguage class,1,FAMIXComment class,2,FAMIXFile class,2
MooseModel>>mooseFinderRootFolderIn:>>arg>>composite,GLMCompositePresentation,1
MooseEntity>>lookUpPropertyNamed:computedAs:>>arg>>aBlock,BlockClosure,60681
MooseAbstractGroup>>allWithSubTypesOf:ofGroupClass:>>arg>>aSmalltalkClass,FAMIXPackage class,3,MooseModel class,2,FAMIXClass class,3,FAMIXNamespace class,3,FAMIXType class,1
MooseDefaultState>>propertyAt:ifAbsentPut:>>arg>>name,ByteSymbol,262807
MooseDefaultState>>propertyAt:put:>>arg>>value,SmallInteger,38506
MooseAbstractGroup>>add:>>arg>>anItem,MooseModel,1
MooseEntity>>mooseName>>1>>temp>>stream,WriteStream,147599
MooseTask>>nb,SmallInteger,48
MooseAbstractGroup>>allModelMethods>>2>>arg>>each,FAMIXMethod,25409
MooseGroup>>collect:>>temp>>resultCollection,OrderedCollection,1
MooseGroupRuntimeStorage>>elements,OrderedCollection,87
MooseGroup>>select:>>temp>>result,FAMIXClassGroup,2,FAMIXMethodGroup,2,FAMIXNamespaceGroup,1
MooseGroup>>reject:>>temp>>resultCollection,OrderedCollection,4
MooseAbstractGroup>>mooseFinderListIn:>>2>>arg>>a,FAMIXMethod,605214,FAMIXClass,41344,MooseObjectQueryResult,23211,FAMIXParameterizableClass,219
MooseModel>>addNoAnnounce:>>arg>>anElement,FAMIXClass,5551,FAMIXType,2845,FAMIXThrownException,2181,FAMIXCaughtException,1213,FAMIXDeclaredException,548,FAMIXEnum,10,FAMIXParameterType,36,FAMIXAnnotationTypeAttribute,1,FAMIXAccess,30192,FAMIXMethod,25409,FAMIXJavaSourceLanguage,1,FAMIXComment,15284,FAMIXParameterizedType,595,FAMIXAnnotationInstanceAttribute,84,FAMIXLocalVariable,12631,FAMIXInvocation,87250,FAMIXPrimitiveType,9,FAMIXAnnotationInstance,1947,FAMIXParameterizableClass,60,FAMIXEnumValue,138,FAMIXImplicitVariable,2696,FAMIXNamespace,193,FAMIXParameter,17609,FAMIXAnnotationType,4,FAMIXInheritance,4144,FAMIXAttribute,5806,FAMIXReference,7989,FAMIXFileAnchor,53875
MooseEntity>>gtInspectorPresentationsIn:inContext:>>temp>>pragmas,Array,1
MooseGroup>>initialize:>>arg>>capacity,SmallInteger,70
MooseGroup>>updateTypeAccordingToEntities>>temp>>class,FAMIXMethodGroup class,4,FAMIXClassGroup class,4
MooseGroupRuntimeStorage>>selectAllWithType:>>arg>>aSmalltalkClass,FAMIXThrownException class,1,FAMIXJavaSourceLanguage class,1,FAMIXAccess class,1,FAMIXEnumValue class,1,FAMIXEnum class,2,FAMIXImplicitVariable class,1,FAMIXCppSourceLanguage class,1,FAMIXCaughtException class,1,FAMIXModule class,1,MooseModel class,1,DynamixTrace class,1,FAMIXInvocation class,1,FAMIXMethod class,1,FAMIXTypeAlias class,2,DudeDuplication class,1,FAMIXUnknownVariable class,1,FAMIXParameterizableClass class,3,FAMIXSmalltalkMonticelloSourceLanguage class,1,FAMIXFunction class,1,FAMIXNamespace class,1,FAMIXType class,1,FAMIXParameterizedType class,2,HismoModelHistory class,1,FAMIXReference class,1,FAMIXDeclaredException class,1,DudeMultiplication class,1,FAMIXAnnotationInstance class,1,FAMIXPrimitiveType class,2,FAMIXParameterType class,2,FAMIXHeader class,1,FAMIXGlobalVariable class,1,FAMIXCSourceLanguage class,1,FAMIXParameter class,1,FAMIXUnknownSourceLanguage class,1,FAMIXFolder class,1,FAMIXClass class,2,FAMIXInheritance class,1,FAMIXSourceLanguage class,1,FAMIXPackage class,1,FAMIXAttribute class,1,FAMIXAnnotationType class,2,FAMIXLocalVariable class,1,FAMIXCustomSourceLanguage class,1,FAMIXSmalltalkSourceLanguage class,1,FAMIXComment class,1,FAMIXFile class,1
MooseAbstractGroup>>entities:>>arg>>aCollection,OrderedCollection,16
