var name, type , #
FAMIXBehaviouralEntity>>queryLocal:with:>>1>>temp>>tmp,FMMultiMultivalueLink,46553
FAMIXAnnotationInstance>>privateQuery:with:>>arg>>anInOutSymbol,ByteSymbol,18781
FAMIXNamespace>>mooseNameOn:>>temp>>parent,FAMIXNamespace,5242225,UndefinedObject,1635216
FAMIXAnnotationInstanceAttribute>>creatingDirectionSymbol:>>temp>>directionSymbol,ByteString,922
FAMIXScopingEntity>>parentScope,UndefinedObject,193,FAMIXNamespace,188
FAMIXBehaviouralEntity>>privateQuery:with:>>arg>>aFAMIXClassAssociation,FAMIXAccess class,43628,FAMIXInheritance class,43628,FAMIXReference class,43628,FAMIXInvocation class,46553
FAMIXAnnotationInstanceAttribute>>annotationTypeAttribute:>>arg>>anAnnotationTypeAttribute,FAMIXAnnotationTypeAttribute,84
FAMIXNamedEntity>>atScope:>>arg>>aClassFAMIX,FAMIXType class,256044
FAMIXAnnotationInstanceAttribute>>queryLocal:with:>>temp>>m3,ByteString,922
MooseEntity>>lookUpPropertyNamed:computedAs:>>arg>>aBlock,BlockClosure,60681
FAMIXAnnotationInstance>>queryLocal:with:>>arg>>aFAMIXClassAssociation,FAMIXAccess class,4040,FAMIXInheritance class,4040,FAMIXReference class,4040,FAMIXInvocation class,6661
FAMIXBehaviouralEntity>>queryLocal:with:>>temp>>m2,ByteString,177437
FAMIXAnnotationInstance>>queryLocal:with:>>temp>>m3,ByteString,18781
FAMIXAccess>>accessor,FAMIXMethod,30192,UndefinedObject,30192
FAMIXType>>query:with:>>temp>>m2,ByteString,19096
FAMIXComment>>container:>>arg>>aContainer,FAMIXMethod,11093,FAMIXClass,2010,FAMIXParameterizableClass,11,FAMIXAttribute,2170
FAMIXNamespace>>printOn:>>arg>>aStream,LimitedWriteStream,19
FAMIXBehaviouralEntity>>query:with:>>temp>>coll,Set,2312
FAMIXBehaviouralEntity>>queryLocal:with:>>temp>>direction,ByteString,177437
FAMIXInvocation>>receiver,FAMIXAttribute,7251,FAMIXEnumValue,5,UndefinedObject,87250,FAMIXLocalVariable,11575,FAMIXParameterizableClass,24,FAMIXClass,12456,FAMIXEnum,13,FAMIXParameter,5451,FAMIXImplicitVariable,19612
MooseEntity>>gtInspectorPresentationsIn:inContext:>>temp>>pragmas,Array,1
FAMIXMethod>>hasClassScope:>>arg>>aBoolean,True,1028
FAMIXType>>query:with:>>arg>>anInOutSymbol,ByteSymbol,19096
FAMIXComment>>container,FAMIXMethod,11093,FAMIXClass,2010,FAMIXParameterizableClass,11,FAMIXAttribute,2170
FAMIXAnnotationInstanceAttribute>>createIncomingQueryResultWith:>>arg>>aCollection,Array,922
FAMIXInvocation>>printOn:>>arg>>aStream,LimitedWriteStream,553
FAMIXType>>privateQuery:with:>>2>>arg>>aChild,FAMIXAttribute,45032,FAMIXAnnotationInstance,408,FAMIXEnum,24,FAMIXMethod,175125,FAMIXClass,2584,FAMIXParameterType,88,FAMIXType,3728
FAMIXReference>>target:>>arg>>aContainerEntity,FAMIXClass,6769,FAMIXParameterizedType,704,FAMIXParameterizableClass,516
FAMIXType>>structuresWithDeclaredType,FMNullMultivalueLink,9110
FAMIXParameter>>printOn:>>temp>>parent,FAMIXMethod,145
FAMIXBehaviouralEntity>>outgoingInvocations,FMNullMultivalueLink,25409
FAMIXAnnotationInstance>>createIncomingQueryResultWith:>>arg>>aCollection,Array,18781
FAMIXNamedEntity>>createIncomingQueryResultWith:>>arg>>aCollection,Array,318625
FAMIXAnnotationInstanceAttribute>>queryLocal:with:>>temp>>coll,OrderedCollection,922
FAMIXType>>queryLocal:with:>>1>>temp>>tmp,FMNullMultivalueLink,27998,FMMultivalueLink,5966
FAMIXBehaviouralEntity>>queryLocal:with:>>temp>>m3,ByteString,177437
MooseEntity>>mooseID,SmallInteger,278372
FAMIXAnnotationInstance>>queryLocal:with:>>temp>>coll,OrderedCollection,18781
FAMIXAnnotationInstance>>queryLocal:with:>>temp>>direction,ByteString,18781
FAMIXNamedEntity>>creatingDirectionSymbol:>>arg>>anInOutSymbol,ByteSymbol,318625
FAMIXType>>mooseNameOn:>>arg>>aStream,WriteStream,1661165,LimitedWriteStream,70
FAMIXBehaviouralEntity>>queryLocal:with:>>arg>>anInOutSymbol,ByteSymbol,177437
FAMIXContainerEntity>>functions,FMNullMultivalueLink,34712
FAMIXScopingEntity>>parentScope:>>arg>>aScopingEntity,FAMIXNamespace,188
FAMIXReference>>printOn:>>arg>>aStream,LimitedWriteStream,52
FAMIXComment>>printOn:>>arg>>aStream,LimitedWriteStream,152
